矫焙备,锅瘤,档肺炼扒,拌距搁利(С),傈岿技备盒,拌距斥岿,拌距老,焊刘陛(父盔),岿技(父盔)
面没合档 没林蕊傣备 汗措悼,1***,12m固父,15.27,傈技,201909,27,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,25m固父,15.3,傈技,202002,1,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,15.45,傈技,202001,5,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,8**,-,15.74,傈技,202002,12,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,15.74,傈技,202002,25,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,16,岿技,202002,24,           200,            37
面没合档 没林蕊傣备 汗措悼,8**,-,16,傈技,201906,3,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,16,傈技,201912,10,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,16,傈技,201906,15,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,16,傈技,201906,19,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,-,16,傈技,201910,21,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,16,傈技,201912,27,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,9**,25m固父,16.2,傈技,201907,12,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,16.53,傈技,202001,8,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,16.53,傈技,201912,31,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,16.57,傈技,201906,27,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,17,傈技,202002,11,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,1***,25m固父,17.79,傈技,202001,13,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,18,岿技,202001,2,           200,            32
面没合档 没林蕊傣备 汗措悼,8**,8m固父,18,岿技,201906,21,           100,            28
面没合档 没林蕊傣备 汗措悼,8**,8m固父,18,岿技,202001,21,           100,            30
面没合档 没林蕊傣备 汗措悼,1***,25m固父,18,岿技,202002,23,           200,            32
面没合档 没林蕊傣备 汗措悼,9**,8m固父,18,岿技,201911,25,           100,            28
面没合档 没林蕊傣备 汗措悼,8**,-,18,岿技,202001,27,           200,            30
面没合档 没林蕊傣备 汗措悼,8**,8m固父,18,傈技,202003,1,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,18,傈技,201906,5,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,18,傈技,202001,6,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,18,傈技,202001,6,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,18,傈技,202002,8,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,18,傈技,202002,8,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,-,18,傈技,201908,9,"         2,700",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,18,傈技,202001,11,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,2***,-,18,傈技,201905,11,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,18,傈技,202001,13,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,18,傈技,202002,13,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,18,傈技,201912,20,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,18,傈技,201907,27,"         3,700",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,18,傈技,201912,28,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,18,傈技,201912,29,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,18,傈技,201909,30,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,9**,8m固父,19.47,傈技,201907,11,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,19.8,傈技,201908,5,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,2**,8m固父,19.8,傈技,201907,12,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,2**,8m固父,19.8,傈技,202004,16,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1*,8m固父,19.8,傈技,201908,17,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,19.8,傈技,201907,29,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,25m固父,19.83,傈技,202002,8,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,19.83,傈技,201906,10,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,19.85,傈技,202004,8,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,2**,-,20,岿技,202003,1,           200,            32
面没合档 没林蕊傣备 汗措悼,1***,-,20,岿技,201907,2,           100,            24
面没合档 没林蕊傣备 汗措悼,1***,-,20,岿技,202002,5,           100,            27
面没合档 没林蕊傣备 汗措悼,8**,8m固父,20,岿技,201907,6,           100,            33
面没合档 没林蕊傣备 汗措悼,2***,25m固父,20,岿技,201912,8,           200,            28
面没合档 没林蕊傣备 汗措悼,2***,-,20,岿技,202001,14,"         3,000",             3
面没合档 没林蕊傣备 汗措悼,1***,8m固父,20,岿技,202001,15,"         1,000",            20
面没合档 没林蕊傣备 汗措悼,*,12m固父,20,岿技,202004,20,"         2,000",            20
面没合档 没林蕊傣备 汗措悼,*,12m固父,20,岿技,202003,21,"         2,000",            20
面没合档 没林蕊傣备 汗措悼,7*,8m固父,20,岿技,201905,27,           100,            24
面没合档 没林蕊傣备 汗措悼,2**,8m固父,20,岿技,201905,27,           200,            35
面没合档 没林蕊傣备 汗措悼,8**,8m固父,20,岿技,201906,30,"         1,000",            30
面没合档 没林蕊傣备 汗措悼,2***,8m固父,20,傈技,202002,1,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,20,傈技,201906,2,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,20,傈技,202001,2,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,20,傈技,201907,5,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,9**,8m固父,20,傈技,201911,5,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,20,傈技,202001,6,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,9**,25m固父,20,傈技,201907,6,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,20,傈技,201907,6,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,7**,8m固父,20,傈技,201907,7,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,20,傈技,201906,13,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,3**,8m固父,20,傈技,201911,14,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,20,傈技,201912,14,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,9**,25m固父,20,傈技,201906,14,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,20,傈技,202002,14,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,20,傈技,201912,17,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,20,傈技,201912,18,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,20,傈技,202001,20,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,20,傈技,201909,21,"         1,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,20,傈技,201912,21,"         3,300",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,20,傈技,202002,21,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,20,傈技,202001,21,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,20,傈技,202002,22,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,20,傈技,202001,22,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,20,傈技,202001,22,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,20,傈技,202001,23,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,20,傈技,202002,28,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,20,傈技,202001,28,"         3,200",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,20,傈技,202001,28,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,20,傈技,202001,29,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,8**,-,20,傈技,201906,29,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,20,傈技,201909,29,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,20,傈技,201912,29,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,20.09,傈技,202001,6,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,8**,25m固父,20.1,岿技,201906,22,           200,            35
面没合档 没林蕊傣备 汗措悼,3***,12m固父,21,岿技,202001,10,           200,            34
面没合档 没林蕊傣备 汗措悼,8**,-,21,傈技,202002,1,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,21,傈技,201908,6,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,21.4,傈技,201905,25,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,3**,8m固父,21.9,岿技,201906,29,           300,            38
面没合档 没林蕊傣备 汗措悼,3**,-,21.9,傈技,201906,10,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,22,傈技,202002,1,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,22,傈技,201911,6,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,8**,-,22,傈技,201912,15,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,22,傈技,202001,18,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,22,傈技,201907,20,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,8**,-,22,傈技,201911,23,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,22,傈技,201907,25,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,22,傈技,201908,29,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1*,8m固父,22.6,岿技,201910,14,"         4,000",            15
面没合档 没林蕊傣备 汗措悼,2***,12m固父,22.7,傈技,201907,31,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,8**,-,23,岿技,201908,17,"         1,000",            20
面没合档 没林蕊傣备 汗措悼,8**,8m固父,23,岿技,201908,28,           100,            25
面没合档 没林蕊傣备 汗措悼,2***,12m固父,23,傈技,201905,8,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,23,傈技,201907,8,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,23,傈技,201905,10,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,23,傈技,202002,10,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,23,傈技,201911,11,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,*,12m固父,23,傈技,201906,16,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,23.05,傈技,201906,23,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,5*,8m固父,23.1,岿技,201912,3,           200,            35
面没合档 没林蕊傣备 汗措悼,2***,12m固父,23.1,岿技,202001,6,           300,            15
面没合档 没林蕊傣备 汗措悼,2***,12m固父,23.1,傈技,201908,6,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,3*,-,23.1,傈技,202002,9,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,*,12m固父,23.1,傈技,201906,22,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,9**,8m固父,23.1,傈技,202001,28,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,2**,8m固父,23.13,岿技,202002,29,           200,            35
面没合档 没林蕊傣备 汗措悼,*,12m固父,23.2,傈技,201912,1,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,23.2,傈技,201906,14,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,23.2,傈技,201906,15,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,23.44,傈技,202001,17,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,1***,25m固父,23.9,傈技,201910,30,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,24,岿技,202001,4,"         2,000",            20
面没合档 没林蕊傣备 汗措悼,8**,8m固父,24,岿技,201906,16,           200,            35
面没合档 没林蕊傣备 汗措悼,8**,-,24,傈技,201907,2,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,24,傈技,202003,7,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,24,傈技,201906,9,"         1,600",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,24,傈技,201912,9,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,24,傈技,202002,10,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,24,傈技,202002,10,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,8**,12m固父,24,傈技,201907,12,"         1,500",             0
面没合档 没林蕊傣备 汗措悼,6*,8m固父,24,傈技,202002,12,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,24,傈技,201907,13,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,8**,-,24,傈技,202002,13,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,24,傈技,202002,17,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,24,傈技,201908,17,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,24,傈技,201912,26,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,4**,12m固父,24,傈技,201912,27,"         7,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,24,傈技,202002,28,"         1,700",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,24,傈技,201908,31,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,7**,8m固父,24.18,傈技,202003,6,"         6,000",             0
面没合档 没林蕊傣备 汗措悼,7**,8m固父,24.18,傈技,202003,23,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,5*,8m固父,24.2,傈技,202002,2,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,5*,8m固父,24.2,傈技,201911,22,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,24.23,傈技,202002,7,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,1***,12m固父,24.23,傈技,201906,25,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,24.39,岿技,202001,10,           800,             4
面没合档 没林蕊傣备 汗措悼,2***,12m固父,24.41,傈技,201911,20,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,1*,8m固父,24.76,傈技,201909,21,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,1**,8m固父,24.81,傈技,201912,9,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,25,岿技,201908,1,           200,            38
面没合档 没林蕊傣备 汗措悼,3***,12m固父,25,岿技,201908,1,           300,            30
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,岿技,202002,1,"         1,500",            15
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,岿技,202002,1,"         1,500",            15
面没合档 没林蕊傣备 汗措悼,3***,12m固父,25,岿技,202002,1,"         2,500",            23
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,岿技,202001,3,           100,            30
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,岿技,201905,4,           100,            25
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,岿技,201909,5,"         1,500",            11
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,岿技,201912,6,            50,            15
面没合档 没林蕊傣备 汗措悼,2**,8m固父,25,岿技,202003,6,           200,            36
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,岿技,201907,7,           200,            20
面没合档 没林蕊傣备 汗措悼,2**,8m固父,25,岿技,201905,8,           200,            32
面没合档 没林蕊傣备 汗措悼,3***,-,25,岿技,201909,8,           500,            32
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,岿技,202001,9,           100,            24
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,岿技,201909,10,"         1,000",            15
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,岿技,201912,11,           200,            27
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,岿技,201912,13,           300,            36
面没合档 没林蕊傣备 汗措悼,3***,12m固父,25,岿技,202003,14,           100,            25
面没合档 没林蕊傣备 汗措悼,1***,12m固父,25,岿技,201910,15,           300,            25
面没合档 没林蕊傣备 汗措悼,7**,25m固父,25,岿技,202002,15,           300,            35
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,岿技,202001,16,           100,            36
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,岿技,201907,18,            50,            25
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,岿技,201907,19,           100,            25
面没合档 没林蕊傣备 汗措悼,2***,25m固父,25,岿技,202004,22,           100,            23
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,岿技,201905,23,           100,            25
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,岿技,201908,23,           200,            30
面没合档 没林蕊傣备 汗措悼,4**,12m固父,25,岿技,201910,24,           200,            40
面没合档 没林蕊傣备 汗措悼,9**,25m固父,25,岿技,202002,26,"         2,000",            21
面没合档 没林蕊傣备 汗措悼,1***,-,25,岿技,202002,27,"         1,000",            15
面没合档 没林蕊傣备 汗措悼,4**,12m固父,25,岿技,201910,28,           500,            38
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,岿技,201905,29,           100,            27
面没合档 没林蕊傣备 汗措悼,1***,25m固父,25,岿技,201907,29,           300,            32
面没合档 没林蕊傣备 汗措悼,1***,12m固父,25,傈技,201910,1,"         4,300",             0
面没合档 没林蕊傣备 汗措悼,1***,25m固父,25,傈技,202002,1,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,8*,8m固父,25,傈技,201909,2,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,1***,12m固父,25,傈技,201906,3,"         2,800",             0
面没合档 没林蕊傣备 汗措悼,7**,8m固父,25,傈技,201910,4,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,1**,12m固父,25,傈技,202002,4,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,7**,25m固父,25,傈技,202002,4,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,傈技,202003,5,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,傈技,201909,5,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,202001,5,"         3,800",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,傈技,201908,5,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,8**,-,25,傈技,201908,5,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,傈技,202002,5,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,傈技,201907,6,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,9**,8m固父,25,傈技,202001,6,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,9**,8m固父,25,傈技,201907,6,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,201912,7,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,1***,25m固父,25,傈技,202001,7,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,9**,8m固父,25,傈技,201907,8,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,傈技,201905,9,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,202003,9,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,9**,25m固父,25,傈技,202002,9,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,傈技,202004,10,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,3***,12m固父,25,傈技,202001,10,"         4,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,傈技,202002,10,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,1***,25m固父,25,傈技,202002,10,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,傈技,202001,11,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,8**,-,25,傈技,202002,11,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,8**,-,25,傈技,202002,11,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,8**,-,25,傈技,202002,11,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,1***,25m固父,25,傈技,201911,13,"         2,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,202004,13,"         3,700",             0
面没合档 没林蕊傣备 汗措悼,2***,8m固父,25,傈技,201912,13,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,8**,-,25,傈技,202002,13,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,傈技,202002,14,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,9**,25m固父,25,傈技,202002,15,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,8**,12m固父,25,傈技,201911,15,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,-,25,傈技,202002,15,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,5*,8m固父,25,傈技,201906,16,"         3,300",             0
面没合档 没林蕊傣备 汗措悼,9**,-,25,傈技,202002,16,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,201912,16,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,202001,16,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,201910,17,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,傈技,201912,17,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,-,25,傈技,202002,18,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,201912,18,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,202003,19,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,9**,25m固父,25,傈技,202002,19,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,1***,12m固父,25,傈技,202002,19,"         4,200",             0
面没合档 没林蕊傣备 汗措悼,1***,12m固父,25,傈技,202002,19,"         4,200",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,傈技,202002,20,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,201912,20,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,傈技,202003,22,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,3***,-,25,傈技,201912,22,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,*,12m固父,25,傈技,201906,23,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,*,-,25,傈技,201906,23,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,傈技,201905,24,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,傈技,201906,25,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,傈技,201912,25,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,8**,-,25,傈技,201912,25,"         5,500",             0
面没合档 没林蕊傣备 汗措悼,9**,25m固父,25,傈技,202002,26,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,202002,27,"         3,000",             0
面没合档 没林蕊傣备 汗措悼,9**,25m固父,25,傈技,201908,27,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,2***,12m固父,25,傈技,201908,28,"         2,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,202002,28,"         3,500",             0
面没合档 没林蕊傣备 汗措悼,9**,8m固父,25,傈技,202001,28,"         4,000",             0
面没合档 没林蕊傣备 汗措悼,2**,-,25,傈技,201912,28,"         4,300",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,201912,28,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,8m固父,25,傈技,201912,28,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,8**,8m固父,25,傈技,202001,28,"         5,000",             0
面没合档 没林蕊傣备 汗措悼,1***,25m固父,25,傈技,202004,29,"         3,300",             0
